year;Sex;All;1;5;10;15;20;25;30;35;40;45;50;55;60;65;70;80;90;201
1980;M;10.8;9.8;1.07;0.39;0.34;1.18;1.85;1.56;1.61;2.24;3.69;6.26;9.76;13.8;19.7;30.4;59.2;136.1;297
1981;M;10.9;9.4;1.07;0.36;0.34;1.05;1.76;1.52;1.65;2.2;3.53;6.02;9.71;13.7;19.6;30.3;58.7;137.6;306
1982;M;10.6;9;1;0.33;0.32;1.07;1.76;1.57;1.62;2.23;3.52;5.92;9.46;13.8;19.3;29.5;56.3;131.4;294
1983;M;10.8;8.4;1;0.35;0.31;0.97;1.77;1.59;1.7;2.25;3.43;5.76;9.4;13.7;19.3;29.6;56.7;135.6;304
1984;M;10.5;7.6;0.9;0.31;0.3;0.91;1.73;1.58;1.71;2.2;3.38;5.56;9.1;13.7;19.4;27.8;54.4;129.8;285
1985;M;10.6;7.9;0.87;0.28;0.3;0.89;1.56;1.56;1.67;2.21;3.35;5.52;8.95;13.6;19.2;27;54.9;133.5;297
1986;M;10.5;7.4;0.86;0.3;0.27;0.85;1.58;1.51;1.73;2.22;3.37;5.33;8.77;13.2;19;26.3;54.6;129.6;289
1987;M;10.1;7.5;0.83;0.28;0.27;0.77;1.47;1.5;1.68;2.22;3.26;5.08;8.32;12.6;18.3;25.7;52.6;123;279
1988;M;10;7.3;0.85;0.25;0.24;0.8;1.5;1.49;1.75;2.24;3.24;4.92;7.96;12.5;17.8;25;51.1;119.8;268
1989;M;10;7.1;0.79;0.25;0.24;0.8;1.53;1.59;1.8;2.28;3.25;4.88;7.89;12.1;17.7;25.2;50.1;118.7;267
1990;M;9.9;6.8;0.8;0.22;0.22;0.79;1.51;1.63;1.85;2.4;3.28;4.87;7.47;11.5;17.2;24.2;46.9;117;270
1991;M;9.8;6.8;0.79;0.23;0.23;0.78;1.5;1.67;1.96;2.41;3.4;4.84;7.24;11.2;17;24.1;44.8;114.3;259
1992;M;9.7;6.3;0.77;0.2;0.21;0.75;1.41;1.64;1.97;2.45;3.39;4.83;7.15;10.8;16.5;23.9;43.1;110.7;253
1993;M;9.9;6;0.72;0.2;0.21;0.72;1.42;1.59;1.99;2.53;3.4;4.78;6.92;10.7;16.5;23.6;41.7;112.5;259
1994;M;9.7;5.5;0.6;0.19;0.23;0.69;1.34;1.57;1.97;2.46;3.36;4.84;6.96;10.4;15.7;23;39.7;107.6;247
1995;M;9.8;4.6;0.49;0.19;0.2;0.66;1.25;1.52;1.91;2.41;3.37;4.8;6.84;10;15.5;23.3;40.2;110.3;253
1996;M;9.8;4.5;0.52;0.18;0.2;0.66;1.19;1.35;1.69;2.23;3.28;4.61;6.78;10;15.3;23;40.6;113.4;255
1997;M;9.6;4.6;0.47;0.17;0.18;0.65;1.16;1.23;1.46;2.01;3.05;4.6;6.55;9.6;14.7;22.2;40.6;111.9;254
1998;M;9.7;4.3;0.44;0.16;0.17;0.6;1.13;1.19;1.36;1.93;2.98;4.61;6.5;9.4;14.3;21.6;40.9;113.8;248
1999;M;9.6;4.1;0.45;0.15;0.16;0.65;1.12;1.15;1.3;1.77;2.95;4.58;6.51;9.2;13.8;21.2;40.9;111;252
2000;M;9.5;4.3;0.43;0.15;0.17;0.6;1.03;1.1;1.26;1.76;2.88;4.52;6.46;9.1;13.3;20.6;39.4;103.1;247
2001;M;9.4;4.3;0.44;0.15;0.17;0.63;1.06;1.09;1.24;1.79;2.79;4.63;6.43;8.9;13.1;19.8;38.2;98.5;243
2002;M;9.4;3.9;0.41;0.14;0.15;0.56;1.01;1.07;1.22;1.69;2.71;4.45;6.48;9;12.8;19.3;37.4;94.4;244
2003;M;9.5;3.9;0.41;0.13;0.16;0.51;0.96;0.94;1.19;1.67;2.57;4.41;6.53;9;12.7;18.7;37.4;94.1;253
2004;M;8.9;3.8;0.36;0.11;0.13;0.46;0.9;0.88;1.09;1.51;2.46;4.09;6.18;8.4;11.9;17.3;34.6;85.6;227
2005;M;9.1;3.4;0.35;0.12;0.12;0.47;0.88;0.89;1.08;1.47;2.31;4.03;6.23;8.7;11.9;17.3;34.5;87.4;242
2006;M;8.9;3.6;0.34;0.11;0.13;0.44;0.78;0.85;1.02;1.45;2.23;3.86;6.19;8.5;11.7;16.7;32.7;84.7;239
2007;M;8.9;3.6;0.35;0.09;0.11;0.42;0.8;0.88;0.97;1.38;2.16;3.65;5.99;8.5;11.6;16.5;31.9;85.3;246
2008;M;9;3.4;0.32;0.09;0.11;0.39;0.79;0.88;0.94;1.33;2.11;3.51;5.9;8.4;11.4;15.9;31.3;86.6;248
2009;M;9;3.6;0.31;0.1;0.11;0.42;0.75;0.86;0.96;1.39;2.16;3.39;5.66;8.6;11.3;15.7;30.4;86;242
2010;M;9;3.3;0.29;0.1;0.1;0.4;0.71;0.83;0.96;1.35;2.05;3.31;5.57;8.4;11.3;15.7;29.6;83.6;224
2011;M;8.9;3;0.29;0.1;0.09;0.37;0.71;0.83;0.91;1.31;1.97;3.18;5.39;8.3;11.1;15;28.6;79.9;212
2012;M;9.1;3.2;0.28;0.09;0.09;0.33;0.66;0.78;0.86;1.17;1.91;3.08;5.16;8.2;11.4;15.1;28.2;81.3;220
2013;M;9.1;3.3;0.29;0.1;0.09;0.29;0.63;0.73;0.85;1.17;1.84;3.01;4.91;7.8;11.3;15.1;27.5;78.8;217
2014;M;8.9;3.2;0.26;0.09;0.09;0.28;0.57;0.72;0.88;1.13;1.69;2.9;4.59;7.5;10.9;14.6;26.2;75.5;203
2015;M;9.3;3.4;0.27;0.1;0.1;0.31;0.58;0.7;0.87;1.17;1.78;2.92;4.55;7.6;11.1;14.9;26.6;78.1;218
2016;M;9.3;3.3;0.27;0.09;0.09;0.28;0.56;0.68;0.81;1.11;1.73;2.73;4.38;7.3;11.1;14.8;25.8;75.5;215
