annee;sex;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104; 105 ou +
1926;M;369041;347858;348600;351222;363805;376090;227038;204967;177215;170820;218717;333056;339908;343927;323235;337633;340154;348729;346347;347080;337074;328597;330395;339686;345230;346373;339622;321192;312121;301777;258928;256316;258125;245486;253393;252603;256108;255188;256754;256725;257400;250720;247349;247391;247881;242028;253030;252612;256320;263398;255582;249260;240003;245239;199031;216808;211402;198765;201423;201247;189320;183186;179867;171032;162479;160930;151587;134259;122378;120496;106904;99879;94677;90959;82991;74067;63424;54836;44449;40782;36721;30343;25239;20638;16202;12456;8877;6540;4526;3489;2463;1479;988;575;467;265;134;87;57;32;11;0;0;0;0;0
1927;M;361863;352924;338116;347541;353284;365086;377852;229281;207440;178446;171619;219921;333760;339098;342648;321766;336842;339210;348835;344327;344314;334471;330213;335345;348620;354058;354435;343646;322831;311413;301587;259061;256313;257550;245542;253815;251791;255633;252928;254525;254579;255081;248312;244844;244797;245092;239154;249931;249102;252544;259136;251541;244936;235753;240744;195052;212319;206568;193884;196066;195400;183523;177080;173667;164583;155846;154068;144338;127326;115361;112787;99909;92635;87069;83055;74897;66407;56069;47945;38374;34595;30702;24883;20390;16278;12641;9553;6581;4699;3191;2397;1667;960;597;346;309;159;73;41;23;14;0;0;0;0;0
1928;M;355999;350674;353818;339093;349849;353492;366821;381070;231587;207488;179552;173804;220335;332693;338620;341451;319895;335621;338772;347435;341415;340980;332662;329763;336322;350033;355961;354931;342496;320993;309889;300432;257879;254915;256041;244393;252900;250265;253584;250870;252349;252534;252758;245939;242456;242246;242546;236562;246626;245828;248783;255173;247606;240951;231679;236284;191199;207947;201866;189267;190715;189889;177856;171205;167617;158125;149325;147336;137153;120567;108321;105678;92838;85546;79513;75345;67201;59022;48925;41558;32486;29043;25201;19994;16132;12628;9542;7148;4676;3303;2189;1577;1131;610;377;220;200;100;37;23;16;0;0;0;0;0
1929;M;356209;344748;350464;353084;343388;350275;354105;369988;384318;231442;207311;182030;175171;218952;331862;338161;339877;317568;335345;338686;345754;338414;339053;333181;332474;339153;353897;358711;355297;340669;319598;309144;299652;256911;253856;254854;243746;252564;248302;251377;248823;250375;250329;250438;243429;239908;239734;239954;233530;243328;242389;244997;251045;243656;236821;227380;231523;187226;203300;196979;184068;185302;183961;172019;165116;161103;151473;142549;140359;129814;113364;101451;98256;86003;78405;72141;68097;59933;52106;42462;35689;27467;24131;20679;16088;12788;9786;7156;5317;3356;2288;1474;1043;741;369;230;135;147;56;20;21;0;0;0;0;0
1930;M;351081;343371;346401;349273;355462;345619;351021;356126;373144;385166;231123;208587;183731;174720;217836;331064;337230;337789;317527;336287;338971;343391;337943;342440;341279;341130;348366;360974;362431;354322;339214;319398;309692;299400;256520;253449;254558;244357;251073;246116;248909;246923;248176;247932;247699;240441;236993;236852;236653;230116;239410;238394;240475;246535;239055;231845;222430;226136;182722;197996;191257;178218;179082;177428;165244;158070;153590;144047;134893;132367;121414;105315;93575;90072;78350;70321;64111;59992;51892;44563;35366;29574;22208;19108;15979;12201;9453;7072;5098;3624;2256;1466;899;614;451;213;130;72;42;27;16;0;0;0;0;0
1931;M;366368;345512;346465;346529;351517;355942;348364;353274;358152;374013;385884;232232;209064;183637;174617;216908;329992;336000;339194;317773;337305;338785;346494;343883;354234;354117;355852;358072;367013;363396;354811;338743;320130;310549;300062;256962;254022;255563;242557;250143;243899;246571;245076;245860;245605;245013;237681;234123;233661;233342;226584;235487;234358;236495;242080;234388;227172;217459;220834;178332;192657;185735;172547;173198;171156;158832;151552;146756;136923;127676;124772;113830;97930;86675;82679;71560;63535;57333;53001;45691;38904;30081;24971;18353;15490;12755;9540;7161;5422;3717;2718;1542;1027;629;427;285;170;101;61;54;64;0;0;0;0;0
1932;M;353980;350462;340476;344050;344007;350205;354771;347342;352336;357267;373120;383539;230829;207798;182490;173431;215646;327938;333727;336661;315260;335269;336501;344567;342235;352086;351602;352502;354554;363307;359554;352130;336073;317504;308013;297455;254120;251088;252485;239596;246985;241062;243516;241837;242656;242177;241821;234416;230793;230025;229368;223066;231643;230114;231943;237062;229289;221901;212034;215183;173298;186911;179562;166471;166685;164257;151926;144396;139242;129380;119777;116678;105380;90201;78990;74510;64344;56324;50200;45746;39068;32989;24575;20226;14564;11943;9616;7049;5145;3813;2519;1785;961;628;376;265;198;113;61;53;0;0;0;0;0;0
1933;M;347459;339933;346700;337915;342413;341836;349149;353747;346421;351426;356362;372249;381222;229440;206458;181284;172176;214362;325738;331411;334074;312697;333275;334714;342848;340497;349757;348969;349130;351178;359658;356010;349519;333413;314839;305403;294863;251250;248213;249491;236524;243886;238253;240468;238627;239194;238783;238495;231025;227401;226238;225515;219397;227559;225763;227328;231902;224064;216517;206515;209031;168133;181146;173339;160262;159999;157296;144885;137028;131649;121530;112058;108728;97362;82623;71526;67035;57174;49733;43651;39204;33143;27713;19949;16223;11411;9148;7201;5261;3712;2684;1753;1256;593;388;233;156;134;72;62;0;0;0;0;0;0
1934;M;326340;336042;336207;344943;335954;340985;339898;348169;352798;345587;350608;355535;371395;378865;228004;205081;180033;170910;212900;323478;329015;331586;310203;331657;333105;341118;338830;347480;346416;345810;347763;356025;352388;346773;330669;312122;302724;292358;248330;245288;246286;233450;240718;235284;237220;235228;235736;235174;234943;227336;223571;222423;221342;215598;223277;220992;222296;226569;218437;210906;200511;202715;162754;174887;166929;153644;152917;149799;137574;129342;123670;113615;105473;97110;90902;74848;64155;59534;50520;43263;37132;33021;27544;21966;16576;12831;8720;6697;5183;3719;2516;1833;1184;811;340;211;128;94;91;79;0;0;0;0;0;0
1935;M;327304;315173;333517;334131;343703;334155;339780;338068;347313;351901;344793;349817;354758;370612;376550;226521;203667;178692;169606;211484;321176;326690;328885;307801;330039;331411;339436;337124;345172;343836;342365;344405;352464;348691;343991;327693;309273;299940;289610;245291;242127;243146;230350;237407;232236;233923;231879;232130;231488;231363;223648;219703;218278;217151;211579;218743;216215;217155;220948;212800;204812;194499;196259;157212;168518;160355;146952;145659;142307;130083;121592;115925;105939;97779;89083;82665;67520;57224;52706;44248;37269;31670;27810;22741;18037;13132;10195;6675;4933;3802;2713;1705;1247;811;559;178;118;78;55;118;0;0;0;0;0;0
